
1859: Oct. 21,Zambesia,Liverpool,Hobart,1,
1859: Oct. 23,Isles of the South,London,Hobart,10,
1859: Oct. 29,Harmonides ,Liverpool,Launceston,4,
1859: & Nov. 4,City of Hobart,-,Hobart,8,
1859: Nov. 12,Sussex ,London,Launceston,1,
1859: Nov. 12,Champion of the Seas,Liverpool,Launceston,7,
1859: Nov. 18,David G. Fleming,Liverpool,Hobart,32,
1859: Nov. 26,Broomielaw,Glasgow,Launceston,225,
1859: Nov. 28,Antipodes,London,Launceston,3,
1859: Dec. 1,Ocean Chief,Liverpool,Hobart,8,
1859:  ,[Black Swan from Melbourne],Liverpool,Launceston,8,
1859: Dec. 1,Greyhound,Liverpool,Launceston,9,
1859: Dec. 2,City of Hobart,-,Hobart,5,
1859: Dec. 4,Percy,London,Hobart,16,
1859: Dec. 21,Hooghly,London,Hobart,131,
1860: Jan. 16,Hilton,-,Launceston,14,
1860: Feb. 11,City of Hobart,-,Hobart,26,
1860: Jan. 25,Southampton,-,Launceston,3,
1860: Jan. 25,White Star,Liverpool,Launceston,6,
1860: & Feb. 11,City of Hobart,-,Hobart,4,
1860: Jan. 25,King of Algeria,Liverpool,Launceston,13,
1860: & Feb. 11,City of Hobart,-,Hobart,6,
1860: Feb. 7,Dawn of Hope,Liverpool,Launceston,28,
1860: & Feb. 11,City of Hobart,-,Hobart,2,
1860: Feb. 7,Marco Polo,Liverpool,Launceston,9,
1860: & Feb. 11,City of Hobart,-,Hobart,4,
1860: Feb. 26,Eagle,Liverpool,Launceston,2,
1860: Mar. 16,Bheejapore,-,Launceston,1,
1860: Apr. 12,British Trident,Liverpool,Launceston,2,
1860: & Apr. 21,North Star,-,Hobart,2,
1860: Apr. 24,Indiana,Glasgow,Launceston,234,
1860: Apr. 30,Red Jacket,Liverpool,Launceston,4,
1860: May 7,Empire of Peace,Liverpool,Launceston,16,
1860: May 7,Gipsy Bride,Liverpool,Launceston,3,
1860: May 8,Montezuma,-,Hobart,1,
1860: Jun. 22,S. Curling,Liverpool,Hobart,1,
1860: Jun. 25,Hope,Liverpool,Launceston,9,
1860: & Jul. 6,City of Hobart,-,Hobart,8,
1860: Jul. 6,Sussex,London,Hobart,5,
1860: Jul. 6,Young America,Liverpool,Hobart,2,
1860: Aug. 17,Suffolk,Liverpool,Hobart,2,
1860: Aug. 17,Commodore Perry,Liverpool,Hobart,3,
1860: & Aug. 20,Black Swan,-,Launceston,9,
1860: Aug. 17,Great Tasmania,Liverpool,Hobart,4,
1860: & Aug. 20,Black Swan,-,Launceston,2,
1860: Sep. 4,Queen of India,Liverpool,Launceston,1,
1860: Sep. 4,Champion of the Seas,Liverpool,Launceston,10,
1860: & Sep. 14,Cit​y of Hobart,-,Hobart,2,
1860: Sep. 4,Saldanha,Liverpool,Launceston,17,
1860: & Sep. 14,City of Hobart,-,Hobart,4,
1860: Sep. 12,Elizabeth Ann Bright,Liverpool,Launceston,10,
1860: & Sep. 14,City of Hobart,-,Hobart,1,
1860: Oct. 9,Isles of the South,London,Hobart,106,
1860: Oct. 11,Ocean Chief,London,Hobart,4,
1860: & Oct. 12,City of Hobart,-,Hobart,3,
1860: Oct. 30,Arabian,Liverpool,Launceston,5,
1860: & Nov. 9,City of Hobart,-,Hobart,8,
1860: Nov. 8,Eagle,Liverpool,Launceston,4,
1860: Nov. 8,Lord Raglan,Liverpool,Launceston,8,
1860: Nov. 8,Lightning,Liverpool,Launceston,5,
1860: & Nov. 9,City of Hobart,-,Hobart,12,
1860: Nov. 8,Empress of the Seas,Liverpool,Launceston,2,
1860: & Dec. 29,Black Swan,-,Launceston,2,
1860: Dec. 5,Antipodes,London,Launceston,160,
1860: Dec. 6,Percy,London,Hobart,6,
1860: Dec. 19,Kent,Liverpool,Hobart,1,
1860: Dec. 20,Blue Jacket,Liverpool,Launceston,13,
1860: & Dec. 21,City of Hobart,-,Hobart,1,
1861: Jan. 14,Marco Polo,Liverpool,Launceston,2,
1861: & Jan. 18,City of Hobart,-,Hobart,2,
1861: Jan. 23,Aurora Australis,London,Hobart,103,
1861: Jan. 26,Blue Jacket,Liverpool,Launceston,3,
1861: & Jan. 30,City of Hobart,-,Hobart,6,
1861: Jan. 26,Morning Light,Liverpool,Launceston,16,
1861: & Jan. 30,City of Hobart,-,Hobart,3,
1861: & Feb. 2,[Black Swan,-,Launceston,3,
1861: Mar. 30,Green Jacket,Liverpool,Launceston,1,
1861: Apr. 10,Donald McKay,Liverpool,Launceston,6,
1861: Apr. 13,Great Australia,Liverpool,Launceston,2,
1861: & May,Royal Shepherd,-,Launceston,1,
1861: Apr. 28,Red Jacket,Liverpool,Launceston,6,
1861: Jun. 13,David G. Fleming ,Liverpool,Launceston,5,
1861: Jun. 21,City of Hobart,-,Hobart,1,
1861: Jun. 20,Flowers of the Forest,Liverpool,Hobart,1,
1861: Jul. 4,Queen of the Mersey,Liverpool,Hobart, 
         ,
1861: Jul. 22,Prince Consort,Liverpool,Launceston,2,
1861: Jul. 22,King of Algeria,Liverpool,Launceston,6,
1861: & Aug. 2,City of Hobart,-,Hobart,1,
1861: Jul. 22,Champion of the Seas,Liverpool,Launceston,4,
1861: & Aug. 2,City of Hobart,-,Hobart,8,
1861: Jul. 24,Ocean Chief,Liverpool,Launceston,3,
1861: Aug. 2,Shalimar,Liverpool,Launceston,2,
1861:  
         ,City of Hobart,-,Hobart,1,
1861: Aug. 21,Empress of the Seas,Liverpool,Launceston,10,
1861:  
         ,Tasmania,-,Hobart,1,
1861: Sep. 3,Heather Bell,London,Hobart,1,
1861: Sep. 3,Lightning,Liverpool,Launceston,2,
1861: & Oct. 25,Royal Shepherd,-,Launceston,1,
1861: Oct. 9,Empire of Peace,Liverpool,Launceston,10,
1861: & Oct. 10,Black Swan,-,Launceston,6,
1861: Oct. 19,Antipodes,London,Hobart,1,
1861: Oct. 21,Great Tasma​nia,Liverpool,Launceston,5,
1861: & Dec. 19,Black Swan,-,Launceston,5,
1861: Oct. 31,Prince of the Seas,Liverpool,Launceston,3,
1861: & Nov. 8,City of Hobart,-,Hobart,1,
